0.png,10000000000000000000
1.png,01000000000000000000
2.png,00100000000000000000
3.png,00010000000000000000
4.png,00001000000000000000
5.png,00000100000000000000
6.png,00000010000000000000
7.png,00000001000000000000
8.png,00000000100000000000
9.png,00000000010000000000
10.png,00000000001000000000
11.png,00000000000100000000
12.png,00000000000010000000
13.png,00000000000001000000
14.png,00000000000000100000
15.png,00000000000000010000
16.png,00000000000000001000
17.png,00000000000000000100
18.png,00000000000000000010
19.png,00000000000000000001
